row,col,level,conductance,conductance_uS
0,0,26,0.896552,89.76
0,1,1,0.034483,4.41
0,2,12,0.413793,41.97
0,3,18,0.620690,62.45
0,4,12,0.413793,41.97
0,5,29,1.000000,100.00
0,6,17,0.586207,59.03
0,7,12,0.413793,41.97
0,8,18,0.620690,62.45
0,9,23,0.793103,79.52
0,10,9,0.310345,31.72
0,11,15,0.517241,52.21
0,12,0,0.000000,1.00
0,13,2,0.068966,7.83
0,14,11,0.379310,38.55
0,15,4,0.137931,14.66
0,16,7,0.241379,24.90
0,17,7,0.241379,24.90
0,18,8,0.275862,28.31
0,19,13,0.448276,45.38
0,20,16,0.551724,55.62
0,21,12,0.413793,41.97
0,22,15,0.517241,52.21
0,23,20,0.689655,69.28
0,24,18,0.620690,62.45
0,25,0,0.000000,1.00
0,26,29,1.000000,100.00
0,27,16,0.551724,55.62
0,28,26,0.896552,89.76
0,29,26,0.896552,89.76
0,30,27,0.931034,93.17
0,31,27,0.931034,93.17
0,32,19,0.655172,65.86
0,33,23,0.793103,79.52
0,34,15,0.517241,52.21
0,35,6,0.206897,21.48
0,36,19,0.655172,65.86
0,37,9,0.310345,31.72
0,38,29,1.000000,100.00
0,39,20,0.689655,69.28
0,40,14,0.482759,48.79
0,41,2,0.068966,7.83
0,42,14,0.482759,48.79
0,43,8,0.275862,28.31
0,44,4,0.137931,14.66
0,45,20,0.689655,69.28
0,46,1,0.034483,4.41
0,47,24,0.827586,82.93
0,48,18,0.620690,62.45
0,49,28,0.965517,96.59
0,50,18,0.620690,62.45
0,51,12,0.413793,41.97
0,52,4,0.137931,14.66
0,53,12,0.413793,41.97
0,54,0,0.000000,1.00
0,55,1,0.034483,4.41
0,56,13,0.448276,45.38
0,57,5,0.172414,18.07
0,58,4,0.137931,14.66
0,59,9,0.310345,31.72
0,60,7,0.241379,24.90
0,61,28,0.965517,96.59
0,62,19,0.655172,65.86
0,63,20,0.689655,69.28
1,0,2,0.068966,7.83
1,1,0,0.000000,1.00
1,2,3,0.103448,11.24
1,3,4,0.137931,14.66
1,4,4,0.137931,14.66
1,5,2,0.068966,7.83
1,6,7,0.241379,24.90
1,7,0,0.000000,1.00
1,8,4,0.137931,14.66
1,9,18,0.620690,62.45
1,10,12,0.413793,41.97
1,11,2,0.068966,7.83
1,12,14,0.482759,48.79
1,13,27,0.931034,93.17
1,14,6,0.206897,21.48
1,15,4,0.137931,14.66
1,16,10,0.344828,35.14
